track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time
1, Car,419.73,33.728231,37.982482,23.729523,31.031,0.0476,-0.0501,0.0
2, Car,173.65,33.609869,37.979914,23.733339,40.492,-0.0074,-0.1593,0.0
3, Car,374.39,31.938416,37.979915,23.733292,44.2296,-0.0142,-0.1395,0.0
4, Motorcycle,471.19,58.091304,37.979891,23.733233,64.7725,0.0326,-0.1309,0.0
5, Car,465.16,56.957816,37.979942,23.73322,47.1936,-0.0387,-0.2323,0.0
6, Car,363.4,33.544162,37.98001,23.733218,44.3073,-0.0273,-0.192,0.0
7, Motorcycle,280.83,32.197439,37.979985,23.733131,55.9541,0.0463,0.2381,0.0
8, Car,442.63,34.640822,37.980139,23.733109,46.4509,-0.0088,-0.1975,0.0
9, Motorcycle,436.92,31.208265,37.980201,23.733105,34.9063,0.0115,-0.0554,0.0
10, Car,15.96,4.224378,37.979462,23.732072,14.1424,0.0758,0.0467,0.0
11, Car,53.64,12.068506,37.979725,23.731805,34.0721,0.0414,-0.2019,0.0
12, Heavy Vehicle,76.5,15.300357,37.979885,23.731674,21.9746,-0.0307,0.2357,0.0
13, Car,144.45,25.243639,37.980159,23.731446,9.0324,-0.1231,-0.101,0.0
14, Car,115.09,20.510231,37.980213,23.731451,14.314,-0.0346,0.0719,0.0
15, Motorcycle,198.81,54.220282,37.980832,23.730906,47.0008,-0.0781,-0.041,0.0
16, Motorcycle,202.14,51.245571,37.98084,23.730858,41.1181,1.3705,-0.6584,0.0
17, Car,210.2,42.512013,37.980926,23.730804,23.2718,-0.0508,0.0585,0.0
18, Car,208.27,45.717009,37.980918,23.730868,30.0301,-0.129,-0.1671,0.0
19, Car,225.1,34.337616,37.981024,23.730727,12.7658,-0.0912,-0.2208,0.0
20, Car,233.23,33.318904,37.981084,23.730679,8.092,-0.0707,-0.0506,0.0
21, Car,239.44,30.785599,37.981134,23.730639,3.7951,1.1856,-0.3289,0.0
22, Motorcycle,241.31,33.156665,37.981135,23.730591,23.9816,-0.0643,-0.2631,0.0
23, Motorcycle,251.78,46.72126,37.981218,23.730547,40.7514,0.0831,0.0919,0.0
24, Car,259.88,32.942417,37.981287,23.73051,24.5955,0.0398,0.0258,0.0
25, Car,254.64,34.724261,37.981261,23.730578,27.1619,-0.1136,0.0763,0.0
26, Car,284.21,30.093235,37.981465,23.730355,28.3626,-0.007,0.0828,0.0
27, Bus,311.88,34.023646,37.981668,23.730181,21.822,-0.0302,0.0696,0.0
28, Car,317.7,36.194036,37.981743,23.730175,23.3666,-0.0732,0.1467,0.0
29, Car,333.35,32.788704,37.981816,23.730057,16.8897,-0.0465,-0.0519,0.0
30, Car,22.55,16.91238,37.981808,23.730112,20.3742,0.0459,-0.0598,0.0
31, Car,339.78,31.689649,37.981884,23.730049,17.8664,-0.037,-0.0668,0.0
32, Car,341.03,34.877789,37.981899,23.729983,14.9435,-0.0467,-0.1,0.0
33, Motorcycle,340.59,44.748566,37.981884,23.72995,45.7394,0.0212,-0.1407,0.0
34, Car,350.3,31.214764,37.981944,23.729998,19.7942,-0.0045,-0.0305,0.0
